"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"Please start the medications below:","Por favor, comience a tomar los siguientes medicamentos:","請開始服用以下藥物：","请开始服用以下药物：","Pakisimulan ang mga gamot sa ibaba:","Hãy bắt đầu dùng các thuốc dưới đây:","Пожалуйста, начните принимать следующие лекарства:"
"Once in the morning","Una vez por la mañana","每日早上一次","每日早晨一次","Isang beses tuwing umaga","Uống một lần vào buổi sáng","Один раз утром"
"Once in the afternoon","Una vez por la tarde","每日下午一次","每日下午一次","Isang beses tuwing hapon","Uống một lần vào buổi chiều","Один раз днём"
"Twice a day","Dos veces al día","每日兩次","每日两次","Dalawang beses sa isang araw","Uống hai lần mỗi ngày","Два раза в день"
"Three times a day","Tres veces al día","每日三次","每日三次","Tatlong beses sa isang araw","Uống ba lần mỗi ngày","Три раза в день"
"Three times a day before meals","Tres veces al día antes de las comidas","每日三次，飯前服","每日三次，餐前服","Tatlong beses sa isang araw bago kumain","Uống ba lần mỗi ngày trước bữa ăn","Три раза в день до еды"
"Four times a day","Cuatro veces al día","每日四次","每日四次","Apat na beses sa isang araw","Uống bốn lần mỗi ngày","Четыре раза в день"
"Before bedtime","Antes de acostarse","睡前服一次","睡前服一次","Isang beses bago matulog","Uống một lần trước khi ngủ","Один раз перед сном"
"Once weekly","Una vez a la semana","每週一次","每周一次","Isang beses sa isang linggo","Uống một lần mỗi tuần","Раз в неделю"
"Every other day","Un día sí, un día no","隔日一次","隔日一次","Isang beses kada dalawang araw","Uống cách ngày","Через день"
"Every Monday, Wednesday, Friday after dialysis","Cada lunes, miércoles y viernes después de la diálisis","逢星期一、三、五透析後服","每周一、三、五透析后服","Tuwing Lunes, Miyerkules, Biyernes pagkatapos ng dialysis","Uống sau lọc máu các ngày Thứ Hai, Tư, Sáu","Каждый понедельник, среду и пятницу после диализа"
"Every Tuesday, Thursday, Saturday after dialysis","Cada martes, jueves y sábado después de la diálisis","逢星期二、四、六透析後服","每周二、四、六透析后服","Tuwing Martes, Huwebes, Sabado pagkatapos ng dialysis","Uống sau lọc máu các ngày Thứ Ba, Năm, Bảy","Каждый вторник, четверг и субботу после диализа"
"As needed for pain","Según necesidad para el dolor","如有痛才服","按需要用于疼痛","Kung kinakailangan para sa pananakit","Dùng khi cần giảm đau","По мере необходимости при боли"
"As needed for agitation","Según necesidad para la agitación","如感煩躁才服","按需要用于躁动","Kung kinakailangan para sa pagkabalisa o pagkagulo","Dùng khi cần cho bứt rứt","По мере необходимости при возбуждении"
"As needed for anxiety","Según necesidad para la ansiedad","如有焦慮才服","按需要用于焦虑","Kung kinakailangan para sa pagkabalisa","Dùng khi cần cho lo âu","По мере необходимости при тревоге"
"As needed for chest pain","Según necesidad para el dolor de pecho","如有胸痛才服","按需要用于胸痛","Kung kinakailangan para sa sakit sa dibdib","Dùng khi cần cho đau ngực","По мере необходимости при боли в груди"
"As needed for cough","Según necesidad para la tos","如咳嗽才服","按需要用于咳嗽","Kung kinakailangan para sa ubo","Dùng khi cần cho ho","По мере необходимости при кашле"
"As needed for diarrhea","Según necesidad para la diarrea","如腹瀉才服","按需要用于腹泻","Kung kinakailangan para sa pagtatae","Dùng khi cần cho tiêu chảy","По мере необходимости при диарее"
"As needed for dizziness","Según necesidad para el mareo","如頭暈才服","按需要用于头晕","Kung kinakailangan para sa pagkahilo","Dùng khi cần cho chóng mặt","По мере необходимости при головокружении"
"As needed for wheezing","Según necesidad para sibilancias","如喘鳴才服","按需要用于喘鸣","Kung kinakailangan para sa hingal na may sipol","Dùng khi cần cho khò khè","По мере необходимости при свистящем дыхании"
"As needed for shortness of breath","Según necesidad para la falta de aire","如氣促才服","按需要用于呼吸急促","Kung kinakailangan para sa hirap sa paghinga","Dùng khi cần cho khó thở","По мере необходимости при одышке"
"As needed for headaches","Según necesidad para el dolor de cabeza","如頭痛才服","按需要用于头痛","Kung kinakailangan para sa sakit ng ulo","Dùng khi cần cho đau đầu","По мере необходимости при головной боли"
"As needed for heartburns","Según necesidad para la acidez","如胃灼熱才服","按需要用于烧心","Kung kinakailangan para sa paninikip ng sikmura","Dùng khi cần cho ợ nóng","По мере необходимости при изжоге"
"As needed for insomnia","Según necesidad para el insomnio","如失眠才服","按需要用于失眠","Kung kinakailangan para sa hindi makatulog","Dùng khi cần cho mất ngủ","По мере необходимости при бессоннице"
"As needed for nausea / vomiting","Según necesidad para náuseas/vómitos","如噁心/嘔吐才服","按需要用于恶心/呕吐","Kung kinakailangan para sa pagduduwal/pagsusuka","Dùng khi cần cho buồn nôn/nôn","По мере необходимости при тошноте/рвоте"
"As needed for swelling","Según necesidad para la hinchazón","如有腫脹才服","按需要用于肿胀","Kung kinakailangan para sa pamamaga","Dùng khi cần cho phù","По мере необходимости при отёках"
"As needed for weight gain over 3 pounds","Según necesidad si aumenta de peso más de 3 libras","體重增加超過3磅時才服","当体重增加超过3磅时按需要服用","Kung tumaba ng mahigit 3 libra","Dùng khi cần khi tăng cân > 1,4 kg","По мере необходимости при наборе веса более 3 фунтов"
"As needed for weight gain over 5 pounds","Según necesidad si aumenta de peso más de 5 libras","體重增加超過5磅時才服","当体重增加超过5磅时按需要服用","Kung tumaba ng mahigit 5 libra","Dùng khi cần khi tăng cân > 2,3 kg","По мере необходимости при наборе веса более 5 фунтов"
