"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"General","General","General","General","General","General","General"
"There are no activity restrictions. Please resume your usual activity level.","No hay restricciones de actividad. Reanude su nivel habitual de actividad.","沒有任何活動限制。請恢復您平時的活動水準。","没有任何活动限制。请恢复您平时的活动水平。","Walang paghihigpit sa aktibidad. Mangyaring ipagpatuloy ang nakasanayang antas ng iyong aktibidad.","Không có giới hạn nào về hoạt động. Vui lòng trở lại mức hoạt động thường ngày của bạn.","Нет ограничений по физической активности. Пожалуйста, вернитесь к вашему обычному уровню активности."
"Please continue your physical therapy program as instructed.","Por favor, continúe con su programa de terapia física según las indicaciones.","請按指示繼續您的物理治療課程。","请按指示继续您的物理治疗课程。","Ipagpatuloy ang iyong physical therapy program ayon sa ibinigay na tagubilin.","Vui lòng tiếp tục chương trình vật lý trị liệu theo chỉ dẫn.","Пожалуйста, продолжайте программу физиотерапии согласно указаниям."
"Please use the appropriate assistive device as instructed. (e.g wheelchair, walker, or cane) to avoid falls.","Por favor, use el dispositivo de asistencia adecuado según las indicaciones (p. ej., silla de ruedas, andador o bastón) para evitar caídas.","請依照指示使用合適的輔助工具（例如輪椅、助行器或手杖）以防跌倒。","请按照指示使用合适的辅助工具（例如轮椅、助行器或手杖）以防跌倒。","Gamitin ang naaangkop na aparatong pantulong ayon sa tagubilin (hal. wheelchair, walker, o tungkod) upang maiwasan ang pagkadapa.","Vui lòng sử dụng dụng cụ hỗ trợ phù hợp theo hướng dẫn (ví dụ: xe lăn, khung tập đi hoặc gậy) để tránh bị ngã.","Пожалуйста, используйте соответствующее вспомогательное устройство (например, инвалидную коляску, ходунки или трость) согласно указаниям, чтобы избежать падений."
"Orthostatic:","Orthostatic:","Orthostatic:","Orthostatic:","Orthostatic:","Orthostatic:","Orthostatic:"
"Please be careful when you get up from laying down to sitting up or standing. Slow down and allow time for your blood pressure to adjust and dizziness to subside. Hold on to a steady surface to prevent falling.","Tenga cuidado al levantarse de estar acostado(a) a sentarse o pararse. Hágalo lentamente y permita que su presión arterial se ajuste y el mareo desaparezca. Sujétese de una superficie estable para evitar caídas.","由躺臥到坐起或站立時請小心。動作放慢並留給血壓調整和暈眩消退的時間。請扶住穩固的物體以防摔倒。","从躺卧到坐起或站立时请小心。动作放慢并留出血压调整和头晕消退的时间。请扶住稳固的物体以防跌倒。","Mag-ingat kapag babangon mula sa pagkakahiga papunta sa pag-upo o pagtayo. Dahan-dahanin ang kilos at bigyan ng oras ang iyong presyon ng dugo para mag-adjust at mawala ang pagkahilo. Kumapit sa matibay na ibabaw para maiwasan ang pagkadapa.","Hãy cẩn thận khi đứng lên từ tư thế nằm sang ngồi hoặc đứng. Thực hiện chậm rãi và đợi huyết áp điều chỉnh cũng như cơn chóng mặt giảm. Hãy vịn vào bề mặt chắc chắn để tránh té ngã.","Будьте осторожны, когда встаете из положения лежа в положение сидя или стоя. Делайте это медленно, давая время для стабилизации давления и исчезновения головокружения. Держитесь за устойчивую поверхность, чтобы не упасть."
"Please make sure you wear compression garment as instructed prior to getting out of bed or ambulation.","Asegúrese de usar la prenda de compresión según las indicaciones antes de levantarse de la cama o deambular.","請務必在下床或行走前，按指示穿戴壓力衣物。","请务必在下床或行走前，按指示穿戴弹力衣物（压力衣物）。","Siguruhing magsuot ng compression garment ayon sa tagubilin bago bumangon mula sa kama o maglakad.","Hãy chắc chắn mặc đồ nén (compression garment) theo hướng dẫn trước khi rời giường hoặc đi lại.","Пожалуйста, надевайте компрессионное белье согласно указаниям до того, как встать с кровати или начать ходьбу."
"Ortho / surgical:","Ortho / surgical:","Ortho / surgical:","Ortho / surgical:","Ortho / surgical:","Ortho / surgical:","Ortho / surgical:"
"Follow your surgeon’s or physical therapist’s guidance regarding bearing weight.","Siga las indicaciones de su cirujano o terapeuta físico con respecto a cargar peso.","請依照外科醫生或物理治療師對負重的指示進行。","请遵照外科医生或物理治疗师关于负重的指导进行。","Sundin ang gabay ng iyong siruhano o physical therapist tungkol sa paglalagay ng timbang.","Hãy tuân theo chỉ dẫn của bác sĩ phẫu thuật hoặc chuyên viên vật lý trị liệu về việc chịu lực.","Следуйте указаниям вашего хирурга или физиотерапевта относительно нагрузки на конечности."
"Please avoid heavy lifting. typically, no lifting >10–15 lbs for 4–6 weeks or as instructed by your surgeon.","Evite levantar objetos pesados. Por lo general, no levante más de 10–15 libras durante 4–6 semanas o según las indicaciones de su cirujano.","請避免搬舉重物。通常在 4–6 週內避免提超過 10–15 磅，或依您的外科醫生指示。","请避免搬举重物。通常在 4–6 周内避免举超过 10–15 磅，或按照您的外科医生指示。","Iwasang magbuhat ng mabibigat na bagay. Karaniwang hindi pinapayagan ang pagbubuhat ng higit sa 10–15 libra sa loob ng 4–6 na linggo o ayon sa tagubilin ng iyong siruhano.","Hãy tránh nâng vật nặng. Thông thường, không nên nâng trên 10–15 lbs trong 4–6 tuần hoặc theo hướng dẫn của bác sĩ phẫu thuật.","Избегайте подъёма тяжестей. Обычно нельзя поднимать более 10–15 фунтов в течение 4–6 недель или согласно указаниям хирурга."
