"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"Meidcal","Meidcal","Meidcal","Meidcal","Meidcal","Meidcal","Meidcal"
"Cardiology","Cardiología","心臟科","心内科","Kardyolohiya","Tim mạch","Кардиология"
"Pulmonology","Neumología","肺科","呼吸内科","Pulmonolohiya","Phổi học","Пульмонология"
"Nephrology","Nefrología","腎臟科","肾内科","Nefrolohiya","Thận học","Нефрология"
"Infectious disease","Enfermedades infecciosas","傳染病科","感染科","Nakakahawang sakit","Bệnh truyền nhiễm","Инфекционные заболевания"
"Endocrinology","Endocrinología","內分泌科","内分泌科","Endokrinolohiya","Nội tiết học","Эндокринология"
"Gastroenterology","Gastroenterología","腸胃科","消化内科","Gastroenterolohiya","Tiêu hóa học","Гастроэнтерология"
"Rheumatology","Reumatología","風濕科","风湿科","Rayumatolohiya","Thấp khớp học","Ревматология"
"Neurology","Neurología","神經科","神经科","Neurolohiya","Thần kinh học","Неврология"
"Hematology","Hematología","血液科","血液科","Hematolohiya","Huyết học","Гематология"
"Oncology","Oncología","腫瘤科","肿瘤科","Onkolohiya","Ung bướu học","Онкология"
"Geriatrics","Geriatría","老年科","老年科","Geriatrics (medisina para sa matatanda)","Lão khoa","Гериатрия"
"Psychiatry","Psiquiatría","精神科","精神科","Saykayatrya","Tâm thần học","Психиатрия"
"Pain management","Manejo del dolor","疼痛管理","疼痛管理","Pamamahala ng sakit","Quản lý đau","Лечение боли"
"General Surgery","Cirugía general","一般外科","普通外科","Pangkalahatang Surhiya","Ngoại tổng quát","Общая хирургия"
"Orthopedic surgery","Cirugía ortopédica","骨科手術","骨科手术","Ortopedik na surhiya","Phẫu thuật chỉnh hình","Ортопедическая хирургия"
"Neurosurgery","Neurocirugía","神經外科","神经外科","Neurosurhiya","Phẫu thuật thần kinh","Нейрохирургия"
"Cardiothoracic surgery","Cirugía cardiotorácica","心胸外科","心胸外科","Kardyothoracic na surhiya","Phẫu thuật tim – lồng ngực","Кардиоторакальная хирургия"
"Vascular surgery","Cirugía vascular","血管外科","血管外科","Baskular na surhiya","Phẫu thuật mạch máu","Сосудистая хирургия"
"Urology","Urología","泌尿科","泌尿科","Urolohiya","Niệu khoa","Урология"
"ENT","Otorrinolaringología","耳鼻喉科","耳鼻喉科","ENT (Otorhinolaryngology)","Tai – Mũi – Họng","ЛОР (оториноларингология)"
"Ancillary / support","Ancillary / support","Ancillary / support","Ancillary / support","Ancillary / support","Ancillary / support","Ancillary / support"
"Physical therapy","Fisioterapia","物理治療","物理治疗","Terapyang pisikal","Vật lý trị liệu","Физиотерапия"
"Occupational therapy","Terapia ocupacional","職能治療","作业治疗","Okupasyunal na therapy","Trị liệu hoạt động","Эрготерапия"
"Speech therapy","Terapia del habla","言語治療","言语治疗","Speech therapy (terapiya sa pananalita)","Trị liệu ngôn ngữ","Логопедия"
"Nutrition / Dietitian","Nutrición / Dietista","營養 / 營養師","营养 / 营养师","Nutrisyon / Dietitian","Dinh dưỡng / Chuyên gia dinh dưỡng","Питание / Диетолог"
"Wound care","Cuidado de heridas","傷口護理","伤口护理","Pangangalaga sa sugat","Chăm sóc vết thương","Уход за раной"
"Social work","Trabajo social","社工","社工","Social work","Công tác xã hội","Социальная работа"
"Case management","Administración de casos","個案管理","病案管理","Pamamahala ng kaso","Quản lý hồ sơ bệnh án","Управление случаем"
"Palliative care","Cuidados paliativos","寧養照護","缓和治疗","Paliyatibong pangangalaga","Chăm sóc giảm nhẹ","Паллиативная помощь"
"Home health","Cuidado de salud en el hogar","居家照護","家庭护理","Pangangalaga sa tahanan","Chăm sóc tại nhà","Уход на дому"
"Behavioural health / Addiction counseling","Salud conductual / Consejería de adicciones","行為健康 / 成癮諮詢","行为健康 / 成瘾咨询","Pangkalusutikan / Pagpapayo sa adiksiyon","Sức khỏe hành vi / Tư vấn cai nghiện","Психическое здоровье / Консультирование при зависимостях"
"Cardiac rehab","Rehabilitación cardíaca","心臟復健","心脏康复","Cardiac rehab","Phục hồi chức năng tim","Кардиологическая реабилитация"
"Pulmonary rehab","Rehabilitación pulmonar","肺部復健","肺部康复","Pulmonary rehab","Phục hồi chức năng phổi","Пульмонологическая реабилитация"
"Stroke rehab","Rehabilitación por accidente cerebrovascular","中風復健","中风康复","Stroke rehab","Phục hồi chức năng sau đột quỵ","Реабилитация после инсульта"
"Diabetes eduction","Educación sobre la diabetes","糖尿病衛教","糖尿病宣教","Edukasyon para sa diyabetes","Giáo dục về bệnh tiểu đường","Обучение по диабету"
