English (for reference),Spanish,Cantonese (Traditional Chinese),Mandarin (Simplified Chinese),Filipino (Tagalog),Vietnamese,Russian
You are admitted for - ______ (Sx: ICD codes),Usted fue ingresado por ______ (Sx: ICD codes).,您因 ______ (Sx: ICD codes) 入院。,您因 ______ (Sx: ICD codes) 入院。,Ikaw ay na-admit dahil sa ______ (Sx: ICD codes).,Quý vị được nhập viện do ______ (Sx: ICD codes).,Вы были госпитализированы из-за ______ (Sx: ICD codes).
You are treated for - ______ (Diagnosis: ICD codes),Usted recibió tratamiento para ______ (Diagnosis: ICD codes).,您因 ______ (Diagnosis: ICD codes) 而接受治療。,您因 ______ (Diagnosis: ICD codes) 而接受治疗。,Ikaw ay ginamot para sa ______ (Diagnosis: ICD codes).,Quý vị được điều trị vì ______ (Diagnosis: ICD codes).,Вам проводилось лечение по поводу ______ (Diagnosis: ICD codes).
"You received the following treatment: _____ (Rx), with improvement in your condition. You are now ready for discharge.","Usted recibió el siguiente tratamiento: _____ (Rx), con mejoría en su condición. Ahora está listo(a) para ser dado(a) de alta.",您接受了以下治療：_____ (Rx)，您的病情已有所改善。您現在可以出院了。,您接受了以下治疗：_____ (Rx)，您的病情已有所改善。您现在可以出院了。,"Nakakuha ka ng sumusunod na paggamot: _____ (Rx), at may pagbuti na sa iyong kalagayan. Handa ka na ngayong ma-discharge.","Quý vị đã nhận được phương pháp điều trị sau: _____ (Rx), tình trạng của quý vị đã được cải thiện. Quý vị hiện đã sẵn sàng xuất viện.","Вы получили следующий курс лечения: _____ (Rx), ваше состояние улучшилось. Теперь вы готовы к выписке."
Lifestyle recommendations,Recomendaciones de estilo de vida,生活方式建議,生活方式建议,Mga rekomendasyon sa pamumuhay,Khuyến nghị về lối sống,Рекомендации по образу жизни
Diet: _____ (Diet),Dieta: _____ (Diet),飲食：_____ (Diet),饮食：_____ (Diet),Diyeta: _____ (Diet),Chế độ ăn: _____ (Diet),Диета: _____ (Diet)
Activity: ______ (activity),Actividad: ______ (activity),活動：______ (activity),活动：______ (activity),Aktibidad: ______ (activity),Hoạt động: ______ (activity),Активность: ______ (activity)
Wound care: ______ (wound care),Cuidado de la herida: ______ (wound care),傷口護理：______ (wound care),伤口护理：______ (wound care),Pangangalaga sa sugat: ______ (wound care),Chăm sóc vết thương: ______ (wound care),Уход за раной: ______ (wound care)
Habits consulting: _____ (habits),Asesoramiento sobre hábitos: _____ (habits),習慣諮詢：_____ (habits),习惯咨询：_____ (habits),Konsultasyon sa mga nakasanayan: _____ (habits),Tư vấn về thói quen: _____ (habits),Консультация по привычкам: _____ (habits)
Medication changes:,Cambios en la medicación:,藥物更改：,药物变更：,Mga pagbabago sa gamot:,Thay đổi thuốc:,Изменения в лечении лекарственными препаратами:
New meds to START:,Nuevos medicamentos para INICIAR:,新藥開始使用：,新药开始使用：,Mga bagong gamot na SIMULAN:,Thuốc mới cần BẮT ĐẦU:,Новые препараты для НАЧАЛА приема:
