"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"Infection","Infection","Infection","Infection","Infection","Infection","Infection"
"Worsening fever, chills, or sweats.","Fiebre que empeora, escalofríos o sudoración.","發燒加劇、發冷或冒汗變嚴重。","发烧加重、发冷或出汗加重。","Lumalalang lagnat, panginginig, o labis na pagpapawis.","Sốt cao hơn, ớn lạnh, hoặc ra mồ hôi nhiều hơn.","Усиление лихорадки, озноба или повышенное потоотделение."
"Worsening redness, warmth, drainage or swelling around the wound.","Empeoramiento del enrojecimiento, calor, secreción o hinchazón alrededor de la herida.","傷口周圍的發紅、發熱、分泌物或腫脹加重。","伤口周围的发红、发热、分泌物或肿胀加重。","Lumalalang pamumula, init, pag-agos (discharge), o pamamaga sa paligid ng sugat.","Tăng đỏ, nóng, tiết dịch hoặc sưng quanh vết thương nặng hơn.","Усиление покраснения, жара, отделяемого или отека вокруг раны."
"Cardiac","Cardiac","Cardiac","Cardiac","Cardiac","Cardiac","Cardiac"
"Worsening chest pain or pressure, especially if it radiates to the arm/jaw or is associated with sweating, nausea, or shortness of breath.","Empeoramiento del dolor o presión en el pecho, especialmente si se irradia al brazo/mandíbula o si está asociado con sudoración, náuseas o dificultad para respirar.","胸痛或胸口壓迫感加重，尤其是放射到手臂或下顎，或伴隨出汗、噁心、或呼吸急促。","胸痛或胸部压迫感加重，尤其是放射到手臂或下颌，或伴随出汗、恶心或呼吸急促。","Lumalalang pananakit o pagkirot sa dibdib, lalo na kung kumakalat ito sa braso/panga o may kasamang pagpapawis, pagduduwal, o hirap sa paghinga.","Đau hoặc tức ngực nặng hơn, đặc biệt nếu lan đến cánh tay/hàm hoặc kèm đổ mồ hôi, buồn nôn, hay khó thở.","Усиление боли или давления в груди, особенно если она отдает в руку/челюсть или сопровождается потоотделением, тошнотой или одышкой."
"Worsening shortness of Breath.","Empeoramiento de la falta de aire.","呼吸困難加重。","呼吸困难加重。","Lumalalang kakapusan sa paghinga.","Khó thở nặng hơn.","Усиление одышки."
"Rapid or Irregular Heart Rate (palpitations) with unexplained or severe dizziness.","Frecuencia cardíaca rápida o irregular (palpitaciones) con mareo intenso o inexplicable.","心跳加快或不規則（心悸），並且伴隨不明原因或嚴重的頭暈。","心跳加快或不规则（心悸），并且伴随不明原因或严重的头晕。","Mabilis o hindi regular na tibok ng puso (palpitations) na may matinding o hindi maipaliwanag na pagkahilo.","Nhịp tim nhanh hoặc không đều (đánh trống ngực) kèm chóng mặt nghiêm trọng hoặc không rõ nguyên nhân.","Учащенное или нерегулярное сердцебиение (ощущение перебоев), сопровождаемое необъяснимым или сильным головокружением."
"Neuro","Neuro","Neuro","Neuro","Neuro","Neuro","Neuro"
"* Sudden Weakness or Numbness in face, arm, or leg—especially on one side of the body.","* Debilidad o entumecimiento repentino en la cara, el brazo o la pierna, especialmente en un solo lado del cuerpo.","* 突發性的臉部、手臂或腿部無力或麻木，尤其在身體單側。","* 突发性的面部、手臂或腿部无力或麻木，尤其在身体单侧。","* Biglaang panghihina o pamamanhid sa mukha, braso, o binti — lalo na kung nasa isang gilid lamang ng katawan.","* Yếu hoặc tê đột ngột ở mặt, cánh tay hoặc chân — đặc biệt ở một bên cơ thể.","* Внезапная слабость или онемение лица, руки или ноги—особенно с одной стороны тела."
"* Confusion, Disorientation, or Extreme Drowsiness that’s new or significantly worsening.","* Confusión, desorientación o somnolencia extrema que sea nueva o esté empeorando.","* 新出現或明顯惡化的意識混亂、定向障礙或極度嗜睡。","* 新出现或明显加重的意识混乱、定向障碍或极度嗜睡。","* Pagkalito, kawalan ng oryentasyon, o labis na pagkaantok na bago o lumalala nang husto.","* Mới xuất hiện hoặc nặng hơn đáng kể tình trạng nhầm lẫn, mất phương hướng hoặc buồn ngủ quá mức.","* Новое или значительно усилившееся замешательство, дезориентация или крайняя сонливость."
