"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"Supportive / General","Supportive / General","Supportive / General","Supportive / General","Supportive / General","Supportive / General","Supportive / General"
"Careful monitoring","Monitoreo cuidadoso","仔細監測","仔细监测","Maingat na pagbabantay","Theo dõi cẩn thận","Тщательное наблюдение"
"Pain control","Control del dolor","疼痛控制","疼痛控制","Pagkontrol ng sakit","Kiểm soát đau","Контроль боли"
"Physical therapy","Terapia física","物理治療","物理治疗","Terapyang pisikal","Vật lý trị liệu","Физиотерапия"
"Further diagnostic workup","Evaluación diagnóstica adicional","進一步的診斷檢查","进一步的诊断检查","Karagdagang pagsusuri (diagnostic workup)","Khám chẩn đoán bổ sung","Дальнейшее диагностическое обследование"
"Laxatives","Laxantes","瀉藥","泻药","Laksatib (pampaluwag ng dumi)","Thuốc nhuận tràng","Слабительные"
"nutrition optimization","Optimización de la nutrición","營養優化","营养优化","Pagpapabuti ng nutrisyon","Tối ưu hóa dinh dưỡng","Оптимизация питания"
"Cardiac","Cardiac","Cardiac","Cardiac","Cardiac","Cardiac","Cardiac"
"Diuretics to remove excess fluid","Diuréticos para eliminar el exceso de líquido","利尿劑以去除多餘體液","利尿剂以去除多余体液","Diuretics upang alisin ang labis na fluid","Thuốc lợi tiểu để loại bỏ chất lỏng dư thừa","Мочегонные препараты для выведения избытка жидкости"
"Blood pressure medications","Medicamentos para la presión arterial","降血壓藥物","降血压药物","Mga gamot sa presyon ng dugo","Thuốc hạ huyết áp","Препараты для снижения артериального давления"
"Medication to control your heart rate","Medicamentos para controlar su ritmo cardíaco","控制心率的藥物","控制心率的药物","Gamot upang kontrolin ang tibok ng puso","Thuốc để kiểm soát nhịp tim","Препараты для контроля частоты сердечных сокращений"
"Blood thinners","Anticoagulantes","抗凝血劑","抗凝血剂","Pampalabnaw ng dugo (anticoagulants)","Thuốc làm loãng máu (chống đông)","Разжижающие кровь препараты (антикоагулянты)"
"Pulmonary","Pulmonary","Pulmonary","Pulmonary","Pulmonary","Pulmonary","Pulmonary"
"Bronchodilators (medications to help open up your airway)","Broncodilatadores (medicamentos para ayudar a abrir las vías…)","支氣管擴張劑（有助於擴張氣道的藥物）","支气管扩张剂（帮助打开气道的药物）","Mga bronchodilator (mga gamot upang tumulong buksan ang daanan ng hangin)","Thuốc giãn phế quản (giúp mở đường thở)","Бронходилататоры (лекарства, которые помогают раскрыть дыхательные пути)"
"Medication to reduce inflammation","Medicamento para reducir la inflamación","減輕炎症的藥物","减轻炎症的药物","Gamot upang mabawasan ang pamamaga","Thuốc giảm viêm","Препараты для уменьшения воспаления"
"Infectious Diseases","Enfermedades infecciosas","傳染性疾病","传染性疾病","Nakakahawang sakit","Các bệnh truyền nhiễm","Инфекционные заболевания"
"IV fluids for hydration","Líquidos intravenosos para hidratación","靜脈輸液以補充水分","静脉输液以补充水分","Mga IV fluid para sa hydration","Truyền dịch tĩnh mạch để bù nước","Внутривенные жидкости для гидратации"
"Antibiotics","Antibióticos","抗生素","抗生素","Mga antibiyotiko","Thuốc kháng sinh","Антибиотики"
"Anti-viral medications","Medicamentos antivirales","抗病毒藥物","抗病毒药物","Mga gamot na antiviral","Thuốc kháng virus","Противовирусные препараты"
"Anti-fungal medications","Medicamentos antifúngicos","抗真菌藥物","抗真菌药物","Mga antifungal","Thuốc kháng nấm","Противогрибковые препараты"
"supportive measures","Medidas de apoyo","支持性治療","支持性治療","Mga pansuportang hakbang","Các biện pháp hỗ trợ","Поддерживающая терапия"
"GI","GI","GI","GI","GI","GI","GI"
"Blood transfusions","Transfusiones de sangre","輸血","输血","Paglipat ng dugo","Truyền máu","Переливание крови"
"discontinuation of blood thinners","Suspensión de anticoagulantes","停止使用抗凝血劑","停止使用抗凝血剂","Pagtigil ng pampalabnaw ng dugo (anticoagulants)","Ngừng thuốc làm loãng máu","Прекращение приема препаратов, разжижающих кровь"
"Surgical intervention","Intervención quirúrgica","外科手術介入","外科手术介入","Pagsasagawa ng operasyon","Can thiệp phẫu thuật","Хирургическое вмешательство"
"Procedural intervention","Intervención mediante procedimientos","治療程序","治療程序","Pagsasagawa ng mga pamamaraang medikal","Can thiệp thủ thuật","Процедурное вмешательство"
"Endocrine","Endocrine","Endocrine","Endocrine","Endocrine","Endocrine","Endocrine"
"Diabetes medications","Medicamentos para la diabetes","糖尿病藥物","糖尿病药物","Mga gamot para sa diabetes","Thuốc tiểu đường","Препараты для лечения диабета"
"Insulin for blood sugar control","Insulina para controlar el azúcar en la sangre","用於控制血糖的胰島素","用于控制血糖的胰岛素","Insulin para sa kontrol ng asukal sa dugo","Insulin để kiểm soát đường huyết","Инсулин для контроля уровня сахара в крови"
"Adjustment to your home medications","Ajuste de sus medicamentos en casa","調整您的長期藥物","調整您的長期藥物","Pagsasaayos ng iyong mga gamot sa bahay","Điều chỉnh các loại thuốc tại nhà","Корректировка ваших домашних лекарств"
"Appropriate medication for your conditions","Medicación apropiada para sus condiciones","適合您病情的藥物","适合您病情的药物","Angkop na gamot para sa iyong mga kondisyon","Thuốc phù hợp cho tình trạng của quý vị","Соответствующие вашему состоянию препараты"
"Renal","Renal","Renal","Renal","Renal","Renal","Renal"
"regular dialysis","Diálisis regular","定期洗腎","定期透析","Regular na dialysis","Lọc máu định kỳ","Регулярный диализ"
"repletion of your electrolyte levels","Reposición de sus niveles de electrolitos","補充您的電解質水平","补充您的电解质水平","Pagpapanumbalik ng iyong electrolyte levels","Bổ sung mức điện giải","Восполнение уровня электролитов"
"correction of your electrolytes levels","Corrección de sus niveles de electrolitos","糾正您的電解質水平","纠正您的电解质水平","Pagwawasto ng iyong electrolyte levels","Điều chỉnh mức điện giải","Коррекция уровня электролитов"
"Neuro","Neuro","Neuro","Neuro","Neuro","Neuro","Neuro"
"seizure prevention medications","Medicamentos para la prevención de convulsiones","預防癲癇發作的藥物","预防癫痫发作的药物","Mga gamot na pang-iwas sa seizure","Thuốc phòng ngừa co giật","Препараты для предотвращения судорог"
"stroke prevention medications","Medicamentos para la prevención de derrames cerebrales","預防中風的藥物","预防中风的药物","Mga gamot na pang-iwas sa stroke","Thuốc phòng ngừa đột quỵ","Препараты для профилактики инсульта"
