"English","Spanish","Cantonese (Traditional)","Mandarin (Simplified)","Filipino (Tagalog)","Vietnamese","Russian"
"General / Precautions","General / Precautions","General / Precautions","General / Precautions","General / Precautions","General / Precautions","General / Precautions"
"Always wash hands thoroughly with soap and water before touching the wound or dressing, and again afterward.","Siempre lávese bien las manos con agua y jabón antes de tocar la herida o el vendaje, y nuevamente después.","在觸碰傷口或敷料之前以及之後，請務必使用肥皂和清水徹底洗手。","在触碰伤口或敷料之前以及之后，请务必使用肥皂和清水彻底洗手。","Laging maghugas nang mabuti ng kamay gamit ang sabon at tubig bago hawakan ang sugat o benda, at muli pagkatapos.","Luôn rửa tay kỹ bằng xà phòng và nước trước khi chạm vào vết thương hoặc băng, và rửa lại sau đó.","Всегда тщательно мойте руки с мылом и водой перед касанием раны или повязки и после этого."
"Please watch for signs of infection, including increased redness, swelling, warmth, unusual discharge (yellow, green, or foul-smelling), or fever. Contact your healthcare provider if these signs appear.","Por favor, esté atento a signos de infección, como mayor enrojecimiento, hinchazón, calor, supuración inusual (amarilla, verde o con mal olor) o fiebre. Comuníquese con su proveedor si aparecen estos signos.","請留意感染跡象，例如發紅、腫脹、發熱、或出現不尋常的分泌物（黃色、綠色或有惡臭），或發燒。如有出現這些症狀，請聯絡您的醫療服務提供者。","请注意感染迹象，例如发红、肿胀、发热，或出现不寻常的分泌物（黄色、绿色或有恶臭），或发烧。如果出现这些症状，请联系您的医疗服务提供者。","Mangyaring bantayan ang mga palatandaan ng impeksyon, kabilang ang pagtaas ng pamumula, pamamaga, init, hindi pangkaraniwang pag-agos (dilaw, berde o mabahong amoy), o lagnat. Makipag-ugnayan sa iyong provider kung lumitaw ang mga ito.","Vui lòng theo dõi các dấu hiệu nhiễm trùng, bao gồm tăng đỏ, sưng, nóng, dịch tiết bất thường (màu vàng, xanh lục hoặc có mùi hôi), hoặc sốt. Liên hệ với nhà cung cấp dịch vụ y tế nếu xuất hiện các dấu hiệu này.","Пожалуйста, следите за признаками инфекции, включая покраснение, отёк, жар, необычные выделения (желтые, зеленые или с неприятным запахом) или лихорадку. Свяжитесь с вашим лечащим врачом, если появятся эти признаки."
"Please keep all wound check appointments.","Por favor, cumpla con todas las citas para revisión de la herida.","請務必遵守所有傷口檢查的預約。","请务必遵守所有伤口复查的预约。","Mangyaring dumalo sa lahat ng iskedyul ng pag-check sa sugat.","Vui lòng tuân thủ tất cả các lịch hẹn kiểm tra vết thương.","Пожалуйста, приходите на все назначенные проверки раны."
"Please continue wound care provided by your home health nurse","Por favor, continúe con el cuidado de la herida provisto por su enfermera de atención domiciliaria.","請繼續接受您的居家護理護士提供的傷口護理。","请继续接受您的居家护理护士所提供的伤口护理。","Mangyaring ipagpatuloy ang pangangalaga sa sugat na ibinibigay ng iyong home health nurse.","Vui lòng tiếp tục chăm sóc vết thương do y tá chăm sóc tại nhà cung cấp.","Пожалуйста, продолжайте уход за раной, который обеспечивает ваша патронажная медсестра."
"Venous stasis","Venous stasis","Venous stasis","Venous stasis","Venous stasis","Venous stasis","Venous stasis"
"For venous statis ulcers, please wear compression stockings or wraps. Elevate legs above heart level when possible to reduce swelling. Keep the skin clean and well moisturized to prevent dryness and itching that can lead to further breakdown.","Para úlceras por estasis venosa, use medias o vendajes de compresión. Eleve las piernas por encima del nivel del corazón cuando sea posible para reducir la hinchazón. Mantenga la piel limpia y bien humectada para evitar resequedad…","對於靜脈性潰瘍，請穿著壓力襪或繃帶。盡量將腿部抬高至心臟水平以上以減少腫脹。保持皮膚清潔並適度保濕，以避免乾燥和瘙癢導致傷口進一步惡化。","对于静脉性溃疡，请穿着压力袜或绷带。尽量将腿部抬高至心脏水平以上以减少肿胀。保持皮肤清洁并适度保湿，以避免干燥和瘙痒导致伤口进一步恶化。","Para sa venous stasis ulcers, magsuot ng compression stockings o balot. Itaas ang mga binti sa taas ng puso kung maaari upang mabawasan ang pamamaga. Panatilihing malinis at well-moisturized ang balat…","Đối với loét tĩnh mạch, vui lòng mang vớ hoặc băng ép. Cố gắng nâng chân cao hơn mức tim khi có thể để giảm sưng. Giữ da sạch và đủ ẩm để tránh khô và ngứa gây loét nặng hơn.","При язвах, вызванных венозным застоем, используйте компрессионные чулки или бинты. Старайтесь поднимать ноги выше уровня сердца, чтобы уменьшить отек. Держите кожу в чистоте и увлажнённой…"
"Diabetic","Diabetic","Diabetic","Diabetic","Diabetic","Diabetic","Diabetic"
"For your diabetic foot ulcers, please wear specialized shoes or boots if recommended. Look for new cuts, blisters, or signs of infection. Notify provider promptly if wound appearance worsens or drainage increases.","Para las úlceras diabéticas en los pies, use zapatos o botas especializados si se recomiendan. Busque nuevos cortes, ampollas o signos de infección. Notifique a su proveedor si la herida empeora…","對於糖尿病足潰瘍，如果有建議請穿著專用鞋或靴子。留意新的傷口、水泡或感染跡象。如果傷口惡化或引流增多，請立即告知醫療服務提供者。","对于糖尿病足溃疡，如果有建议请穿着专用鞋或靴子。留意新的伤口、水泡或感染迹象。如果伤口恶化或引流增多，请立即告知医疗服务提供者。","Para sa iyong diabetic foot ulcers, magsuot ng espesyal na sapatos o bota kung inirekomenda. Suriin kung may bagong hiwa, paltos, o palatandaan ng impeksyon. Ipaalam agad sa provider kung lumalala ang sugat…","Đối với loét bàn chân do tiểu đường, vui lòng mang giày hoặc ủng chuyên dụng nếu được khuyến cáo. Kiểm tra xem có vết cắt mới, phồng rộp hoặc dấu hiệu nhiễm trùng. Báo với nhà cung cấp dịch vụ nếu vết thương xấu đi…","При диабетических язвах стопы носите специальные обувь или ботинки, если рекомендовано. Следите за появлением новых ран, волдырей или признаков инфекции. Немедленно сообщайте врачу, если состояние раны ухудшается…"
"Pressure","Pressure","Pressure","Pressure","Pressure","Pressure","Pressure"
"For pressure ulcers, please reposition the patient every 2 hours (or more frequently) to offload pressure. Please utilize cushions, or overlays that redistribute weight.","Para las úlceras por presión, cambie de posición al paciente cada 2 horas (o con más frecuencia) para aliviar la presión. Utilice cojines o accesorios que redistribuyan el peso.","對於壓瘡，請每兩小時（或更頻繁）為病人翻身，以減少壓力。請使用減壓墊或減壓床墊等分散重量。","对于压疮，请每两小时（或更频繁）为病人翻身，以减少压力。请使用减压垫或减压床垫等分散重量。","Para sa pressure ulcers, pakireposition ang pasyente tuwing 2 oras (o mas madalas) upang maalis ang pressure. Mangyaring gumamit ng mga cushion o overlay na nakakatulong mag-distribute ng timbang.","Đối với loét do tì đè, hãy xoay trở bệnh nhân cứ 2 giờ một lần (hoặc thường xuyên hơn) để giảm áp lực. Vui lòng sử dụng nệm hoặc tấm lót giúp phân tán trọng lượng.","При пролежнях переставляйте (переворачивайте) пациента каждые 2 часа (или чаще), чтобы снизить давление. Используйте подушки или специальные матрацы, перераспределяющие вес."
"Surgical","Surgical","Surgical","Surgical","Surgical","Surgical","Surgical"
"Showering is often permitted 24–48 hours after surgery, but confirm with your surgeon. Gently pat the incision dry.","Con frecuencia se permite bañarse 24 a 48 horas después de la cirugía, pero confirme con su cirujano. Seque la incisión con leves toques.","通常在手術後 24–48 小時即可淋浴，但請先與您的外科醫生確認。清洗後請輕輕拍乾傷口。","通常在手术后 24–48 小时即可淋浴，但请先与您的外科医生确认。清洗后请轻轻拍干切口。","Karaniwang pinapayagan ang paliligo makalipas ang 24–48 oras matapos ang operasyon, ngunit i-confirm muna sa iyong siruhano. Dahan-dahang tapikin ang hiwa upang matuyo.","Thường được phép tắm 24–48 giờ sau phẫu thuật, nhưng hãy xác nhận với bác sĩ phẫu thuật. Nhẹ nhàng thấm khô vết mổ.","Обычно разрешается принимать душ через 24–48 часов после операции, но уточните у своего хирурга. Осторожно промокните разрез насухо."
